c,z,attribute,y,uni,value
Angola,Angola,Costs,2025.0,Carbon costs: $m,63.85154035986455
Angola,Angola,Costs,2025.0,Excess generation: $m,0.0
Angola,Angola,Costs,2025.0,Export revenues with external zones: $m,0.0
Angola,Angola,Costs,2025.0,Export revenues with internal zones: $m,0.0
Angola,Angola,Costs,2025.0,Fixed O&M: $m,188.6135
Angola,Angola,Costs,2025.0,Fuel costs: $m,134.07373256598012
Angola,Angola,Costs,2025.0,Generation costs: $m,0.0
Angola,Angola,Costs,2025.0,Import costs with external zones: $m,0.0
Angola,Angola,Costs,2025.0,Import costs with internal zones: $m,0.0
Angola,Angola,Costs,2025.0,NPV of system cost: $m,0.0
Angola,Angola,Costs,2025.0,Spinning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Startup costs: $m,0.0
Angola,Angola,Costs,2025.0,Trade shared benefits: $m,0.0
Angola,Angola,Costs,2025.0,Transmission costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2025.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet demand costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola,Costs,2025.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola,Costs,2025.0,VRE curtailment: $m,0.0
Angola,Angola,Costs,2025.0,Variable O&M: $m,12.271087104799994
Angola,Angola,Costs,2026.0,Carbon costs: $m,80.98590951076628
Angola,Angola,Costs,2026.0,Excess generation: $m,0.0
Angola,Angola,Costs,2026.0,Export revenues with external zones: $m,0.0
Angola,Angola,Costs,2026.0,Export revenues with internal zones: $m,0.0
Angola,Angola,Costs,2026.0,Fixed O&M: $m,188.6135
Angola,Angola,Costs,2026.0,Fuel costs: $m,167.4509038255805
Angola,Angola,Costs,2026.0,Generation costs: $m,0.0
Angola,Angola,Costs,2026.0,Import costs with external zones: $m,0.0
Angola,Angola,Costs,2026.0,Import costs with internal zones: $m,0.0
Angola,Angola,Costs,2026.0,NPV of system cost: $m,0.0
Angola,Angola,Costs,2026.0,Spinning reserve costs: $m,0.0
Angola,Angola,Costs,2026.0,Startup costs: $m,0.0
Angola,Angola,Costs,2026.0,Trade shared benefits: $m,0.0
Angola,Angola,Costs,2026.0,Transmission costs: $m,0.0
