c,z,attribute,y,uni,value
Angola,Angola,CapexInvestmentComponent,2027,Generation,6788192705.916
Angola,Angola,CapexInvestmentComponent,2028,Generation,118802040.0
Angola,Angola,CapexInvestmentComponent,2029,Generation,65964000.0
Angola,Angola,CapexInvestmentComponent,2029,Transmission,103000000.0
Angola,Angola,CapexInvestmentComponent,2030,Generation,80568000.0
Angola,Angola,CapexInvestmentComponent,2031,Generation,79536000.0
Angola,Angola,CapexInvestmentComponent,2031,StorageEnergy,15989000.000000002
Angola,Angola,CapexInvestmentComponent,2032,Generation,78570000.0
Angola,Angola,CapexInvestmentComponent,2032,StorageEnergy,15782500.0
Angola,Angola,CapexInvestmentComponent,2033,Generation,494838000.0
Angola,Angola,CapexInvestmentComponent,2033,StorageEnergy,15576000.0
Angola,Angola,CapexInvestmentComponent,2033,Transmission,220684102.8821824
Angola,Angola,CapexInvestmentComponent,2034,Generation,115702000.0
Angola,Angola,CapexInvestmentComponent,2034,StorageEnergy,15369500.0
Angola,Angola,CapexInvestmentComponent,2034,Transmission,26120497.11781756
Angola,Angola,CapexInvestmentComponent,2035,Generation,75540000.0
Angola,Angola,CapexInvestmentComponent,2035,StorageEnergy,15163000.0
Angola,Angola,CapexInvestmentComponent,2036,Generation,79030400.0
Angola,Angola,CapexInvestmentComponent,2036,StorageEnergy,14956500.0
Angola,Angola,CapexInvestmentComponent,2036,Transmission,84386700.27238548
Angola,Angola,CapexInvestmentComponent,2037,Generation,73542000.0
Angola,Angola,CapexInvestmentComponent,2037,StorageEnergy,14779500.0
Angola,Angola,CapexInvestmentComponent,2037,Transmission,613299.7276145213
Angola,Angola,CapexInvestmentComponent,2038,Generation,72575000.0
Angola,Angola,CapexInvestmentComponent,2038,StorageEnergy,72041050.19590864
Angola,Angola,CapexInvestmentComponent,2039,Generation,71543000.0
Angola,Angola,CapexInvestmentComponent,2039,StorageEnergy,24628667.23556605
Angola,Angola,CapexInvestmentComponent,2040,Generation,70576000.0
Angola,Angola,CapexInvestmentComponent,2040,StorageEnergy,23627204.576919418
Angola,Angola,CapexInvestmentComponent,2041,Generation,129275153.47901589
Angola,Angola,CapexInvestmentComponent,2041,StorageEnergy,22902879.854448978
Angola,Angola,CapexInvestmentComponent,2042,Generation,657903051.0704181
Angola,Angola,CapexInvestmentComponent,2042,StorageEnergy,28057888.734516986
Angola,Angola,CapexInvestmentComponent,2043,Generation,656529311.5355864
Angola,Angola,CapexInvestmentComponent,2043,StorageEnergy,29327665.282238007
Angola,Angola,CapexInvestmentComponent,2044,Generation,66580000.0
Angola,Angola,CapexInvestmentComponent,2044,StorageEnergy,11617583.068429446
Angola,Angola,CapexInvestmentComponent,2045,Generation,2499148000.0
Angola,Angola,CapexInvestmentComponent,2045,StorageEnergy,14435443.335216869
Angola,Angola,CapexInvestmentComponent,2046,Generation,64517000.0
Angola,Angola,CapexInvestmentComponent,2046,StorageEnergy,9351984.861240732
Angola,Angola,CapexInvestmentComponent,2047,Generation,63615000.0
Angola,Angola,CapexInvestmentComponent,2047,StorageEnergy,21971878.35668753
Angola,Angola,CapexInvestmentComponent,2048,Generation,329653075.84780145
Angola,Angola,CapexInvestmentComponent,2048,StorageEnergy,17344321.84775652
Angola,Angola,CapexInvestmentComponent,2049,Generation,297046525.9591392
Angola,Angola,CapexInvestmentComponent,2049,StorageEnergy,8989011.949841924
Angola,Angola,CapexInvestmentComponent,2050,Generation,295813567.10402846
Angola,Angola,CapexInvestmentComponent,2050,StorageEnergy,20853877.619209208
Angola,Angola,CapexInvestmentComponent,2051,Generation,558488200.4
Angola,Angola,CapexInvestmentComponent,2051,StorageEnergy,22012433.92536551
Angola,Angola,CapexInvestmentComponent,2052,Generation,249655615.3940104
Angola,Angola,CapexInvestmentComponent,2052,StorageEnergy,102894097.8057134
Angola,Angola,CapexInvestmentComponent,2053,Generation,138831000.0
Angola,Angola,CapexInvestmentComponent,2053,StorageEnergy,294948955.5342574
Angola,Angola,CapexInvestmentComponent,2054,Generation,124463000.0
Angola,Angola,CapexInvestmentComponent,2054,StorageEnergy,145164600.62911472
Angola,Angola,CapexInvestmentComponent,2055,Generation,124463000.0
Angola,Angola,CapexInvestmentComponent,2055,StorageEnergy,172854600.0
Angola,Angola,CapexInvestmentComponentCumulated,2027,Generation,6788192705.916
Angola,Angola,CapexInvestmentComponentCumulated,2028,Generation,6906994745.916
Angola,Angola,CapexInvestmentComponentCumulated,2029,Generation,6972958745.916
Angola,Angola,CapexInvestmentComponentCumulated,2029,Transmission,103000000.0
Angola,Angola,CapexInvestmentComponentCumulated,2030,Generation,7053526745.916
Angola,Angola,CapexInvestmentComponentCumulated,2031,Generation,7133062745.916
Angola,Angola,CapexInvestmentComponentCumulated,2031,StorageEnergy,15989000.000000002
Angola,Angola,CapexInvestmentComponentCumulated,2032,Generation,7211632745.916
Angola,Angola,CapexInvestmentComponentCumulated,2032,StorageEnergy,31771500.0
Angola,Angola,CapexInvestmentComponentCumulated,2033,Generation,7706470745.916
Angola,Angola,CapexInvestmentComponentCumulated,2033,StorageEnergy,47347500.0
Angola,Angola,CapexInvestmentComponentCumulated,2033,Transmission,323684102.8821824
Angola,Angola,CapexInvestmentComponentCumulated,2034,Generation,7822172745.916
Angola,Angola,CapexInvestmentComponentCumulated,2034,StorageEnergy,62717000.0
Angola,Angola,CapexInvestmentComponentCumulated,2034,Transmission,349804599.99999994
Angola,Angola,CapexInvestmentComponentCumulated,2035,Generation,7897712745.916
Angola,Angola,CapexInvestmentComponentCumulated,2035,StorageEnergy,77880000.0
Angola,Angola,CapexInvestmentComponentCumulated,2036,Generation,7976743145.916
Angola,Angola,CapexInvestmentComponentCumulated,2036,StorageEnergy,92836500.0
Angola,Angola,CapexInvestmentComponentCumulated,2036,Transmission,434191300.2723854
Angola,Angola,CapexInvestmentComponentCumulated,2037,Generation,8050285145.916
Angola,Angola,CapexInvestmentComponentCumulated,2037,StorageEnergy,107616000.0
Angola,Angola,CapexInvestmentComponentCumulated,2037,Transmission,434804600.0
Angola,Angola,CapexInvestmentComponentCumulated,2038,Generation,8122860145.916
Angola,Angola,CapexInvestmentComponentCumulated,2038,StorageEnergy,179657050.19590864
Angola,Angola,CapexInvestmentComponentCumulated,2039,Generation,8194403145.916
Angola,Angola,CapexInvestmentComponentCumulated,2039,StorageEnergy,204285717.4314747
Angola,Angola,CapexInvestmentComponentCumulated,2040,Generation,8264979145.916
Angola,Angola,CapexInvestmentComponentCumulated,2040,StorageEnergy,227912922.0083941
Angola,Angola,CapexInvestmentComponentCumulated,2041,Generation,8394254299.395017
Angola,Angola,CapexInvestmentComponentCumulated,2041,StorageEnergy,250815801.8628431
Angola,Angola,CapexInvestmentComponentCumulated,2042,Generation,9052157350.465437
Angola,Angola,CapexInvestmentComponentCumulated,2042,StorageEnergy,278873690.5973601
Angola,Angola,CapexInvestmentComponentCumulated,2043,Generation,9708686662.00102
Angola,Angola,CapexInvestmentComponentCumulated,2043,StorageEnergy,308201355.8795981
Angola,Angola,CapexInvestmentComponentCumulated,2044,Generation,9775266662.00102
Angola,Angola,CapexInvestmentComponentCumulated,2044,StorageEnergy,319818938.9480275
Angola,Angola,CapexInvestmentComponentCumulated,2045,Generation,12274414662.00102
Angola,Angola,CapexInvestmentComponentCumulated,2045,StorageEnergy,334254382.2832444
Angola,Angola,CapexInvestmentComponentCumulated,2046,Generation,12338931662.00102
Angola,Angola,CapexInvestmentComponentCumulated,2046,StorageEnergy,343606367.1444851
Angola,Angola,CapexInvestmentComponentCumulated,2047,Generation,12402546662.00102
Angola,Angola,CapexInvestmentComponentCumulated,2047,StorageEnergy,365578245.5011727
Angola,Angola,CapexInvestmentComponentCumulated,2048,Generation,12732199737.848822
Angola,Angola,CapexInvestmentComponentCumulated,2048,StorageEnergy,382922567.3489292
Angola,Angola,CapexInvestmentComponentCumulated,2049,Generation,13029246263.80796
